sepal_length,sepal_width,petal_length,petal_width,species,petal_sepal_ratio
5.1,3.5,1.4,0.2,setosa,0.27450980392156865
4.9,3.0,1.4,0.2,setosa,0.2857142857142857
4.7,3.2,1.3,0.2,setosa,0.2765957446808511
4.6,3.1,1.5,0.2,setosa,0.32608695652173914
5.0,3.6,1.4,0.2,setosa,0.27999999999999997
5.4,3.9,1.7,0.4,setosa,0.31481481481481477
4.6,3.4,1.4,0.3,setosa,0.30434782608695654
5.0,3.4,1.5,0.2,setosa,0.3
4.4,2.9,1.4,0.2,setosa,0.3181818181818181
4.9,3.1,1.5,0.1,setosa,0.3061224489795918
5.4,3.7,1.5,0.2,setosa,0.27777777777777773
4.8,3.4,1.6,0.2,setosa,0.33333333333333337
4.8,3.0,1.4,0.1,setosa,0.2916666666666667
4.3,3.0,1.1,0.1,setosa,0.2558139534883721
5.8,4.0,1.2,0.2,setosa,0.20689655172413793
5.7,4.4,1.5,0.4,setosa,0.2631578947368421
5.4,3.9,1.3,0.4,setosa,0.24074074074074073
5.1,3.5,1.4,0.3,setosa,0.27450980392156865
5.7,3.8,1.7,0.3,setosa,0.2982456140350877
5.1,3.8,1.5,0.3,setosa,0.29411764705882354
5.4,3.4,1.7,0.2,setosa,0.31481481481481477
5.1,3.7,1.5,0.4,setosa,0.29411764705882354
4.6,3.6,1.0,0.2,setosa,0.2173913043478261
5.1,3.3,1.7,0.5,setosa,0.33333333333333337
4.8,3.4,1.9,0.2,setosa,0.3958333333333333
5.0,3.0,1.6,0.2,setosa,0.32
5.0,3.4,1.6,0.4,setosa,0.32
5.2,3.5,1.5,0.2,setosa,0.28846153846153844
5.2,3.4,1.4,0.2,setosa,0.2692307692307692
4.7,3.2,1.6,0.2,setosa,0.3404255319148936
4.8,3.1,1.6,0.2,setosa,0.33333333333333337
5.4,3.4,1.5,0.4,setosa,0.27777777777777773
5.2,4.1,1.5,0.1,setosa,0.28846153846153844
5.5,4.2,1.4,0.2,setosa,0.2545454545454545
4.9,3.1,1.5,0.2,setosa,0.3061224489795918
5.0,3.2,1.2,0.2,setosa,0.24
5.5,3.5,1.3,0.2,setosa,0.23636363636363636
4.9,3.6,1.4,0.1,setosa,0.2857142857142857
4.4,3.0,1.3,0.2,setosa,0.2954545454545454
5.1,3.4,1.5,0.2,setosa,0.29411764705882354
5.0,3.5,1.3,0.3,setosa,0.26
4.5,2.3,1.3,0.3,setosa,0.2888888888888889
4.4,3.2,1.3,0.2,setosa,0.2954545454545454
5.0,3.5,1.6,0.6,setosa,0.32
5.1,3.8,1.9,0.4,setosa,0.37254901960784315
4.8,3.0,1.4,0.3,setosa,0.2916666666666667
5.1,3.8,1.6,0.2,setosa,0.3137254901960785
4.6,3.2,1.4,0.2,setosa,0.30434782608695654
5.3,3.7,1.5,0.2,setosa,0.2830188679245283
5.0,3.3,1.4,0.2,setosa,0.27999999999999997
7.0,3.2,4.7,1.4,versicolor,0.6714285714285715
6.4,3.2,4.5,1.5,versicolor,0.703125
6.9,3.1,4.9,1.5,versicolor,0.7101449275362319
5.5,2.3,4.0,1.3,versicolor,0.7272727272727273
6.5,2.8,4.6,1.5,versicolor,0.7076923076923076
5.7,2.8,4.5,1.3,versicolor,0.7894736842105263
6.3,3.3,4.7,1.6,versicolor,0.746031746031746
4.9,2.4,3.3,1.0,versicolor,0.6734693877551019
6.6,2.9,4.6,1.3,versicolor,0.6969696969696969
